Land,Global_emissions,Renewables,Signed1,Month
Afghanistan,0.05,,11,Feb
Albania,0.02,,6,Sep
Algeria,0.3,0.8,7,Oct
Argentina,0.89,24.1,6,Sep
Armenia,0.02,,12,Mar
Australia,1.46,9.55,8,Nov
Austria,0.21,74.6,7,Oct
Azerbaijan,0.13,,10,Jan
Bahamas,0.00001,,5,Aug
Bahrain,0.06,,9,Dec
Bangladesh,0.27,3.8,6,Sep
Barbados,0.01,,1,Apr
Belarus,0.24,0.5,6,Sep
Belgium,0.32,13.85,1,Apr
Belize,0.00001,,1,Apr
Benin,0.02,,7,Oct
Bolivia (Plurinational State of),0.12,,7,Oct
Bosnia and Herzegovina,0.08,,12,Mar
Botswana,0.02,,8,Nov
Brazil,2.48,82.7,6,Sep
Bulgaria,0.15,11.85,8,Nov
Burkina Faso,0.06,,8,Nov
Cambodia,0.03,,11,Feb
Cameroon,0.45,74.4,4,Jul
Canada,1.95,62.5,7,Oct
Chad,0.06,,10,Jan
Chile,0.25,37.5,11,Feb
China,20.09,19.2,6,Sep
Comoros,0.00001,,8,Nov
Congo,0.01,,1,Apr
Cook Islands,0.00001,,6,Sep
Costa Rica,0.03,91.45,7,Oct
Cote d_Ivoire,0.73,,7,Oct
Cuba,0.1,3.7,9,Dec
Cyprus,0.02,4.9,10,Jan
Democratic People_s Republic of Korea,0.23,1.85,5,Aug
Denmark,0.15,48.05,8,Nov
Djibouti,0.00001,,8,Nov
Dominica,0.00001,,6,Sep
El Salvador,0.03,62.3,12,Mar
Estonia,0.06,12.3,8,Nov
Ethiopia,0.13,99.95,12,Mar
Fiji,0.01,,,
Finland,0.17,40.1,8,Nov
France,1.34,15.6,7,Oct
Gabon,0.02,39.9,8,Nov
Gambia,0.05,,8,Nov
Germany,2.56,23.3,7,Oct
Ghana,0.09,,6,Sep
Greece,0.28,16.05,7,Oct
Grenada,0.00001,,1,Apr
Guatemala,0.04,62.25,10,Jan
Guinea,0.01,,6,Sep
Guyana,0.02,,2,May
Honduras,0.03,,6,Sep
Hungary,0.15,7.8,7,Oct
Iceland,0.01,100,6,Sep
India,4.1,13.6,7,Oct
Indonesia,1.49,11.55,7,Oct
Ireland,0.16,19.7,8,Nov
Israel,0.2,0.4,8,Nov
Italy,1.18,31.1,8,Nov
Jamaica,0.04,,1,Apr
Japan,3.79,12.7,8,Nov
Jordan,0.07,0.4,8,Nov
Kazakhstan,0.84,13.35,9,Dec
Kenya,0.06,73.15,9,Dec
Kiribati,0.00001,,6,Sep
Lao People_s Democratic Republic,0.02,,,
Latvia,0.03,68.2,12,Mar
Lesotho,0.01,,10,Jan
Lithuania,0.05,32.2,11,Feb
Luxembourg,0.03,36,8,Nov
Madagascar,0.08,49.4,6,Sep
Malaysia,0.52,,8,Nov
Maldives,0.00001,,1,Apr
Mali,0.03,57,6,Sep
Malta,0.01,0.8,7,Oct
Marshall Islands,0.00001,,1,Apr
Mauritania,0.02,,11,Feb
