Land,Global_emissions,Status,renewables,LifeEx,Wellbeing,InequalityOut,EcologicalFoot,Signed,Signed1
Afghanistan,0.05,1,,59.7,3.8,43,0.8,Feb,11
Albania,0.02,1,,77.3,5.5,17,2.2,Sep,6
Algeria,0.3,1,0.8,74.3,5.6,24,2.1,Oct,7
Argentina,0.89,1,24.1,75.9,6.5,16,3.1,Sep,6
Armenia,0.02,1,,74.4,4.3,22,2.2,Mar,12
Australia,1.46,1,9.55,82.1,7.2,8,9.3,Nov,8
Austria,0.21,1,74.6,81,7.4,7,6.1,Oct,7
Azerbaijan,0.13,1,,,,,,Jan,10
Bahamas,0,1,,,,,,Aug,5
Bahrain,0.06,1,,,,,,Dec,9
Bangladesh,0.27,1,3.8,,,,,Sep,6
Barbados,0.01,1,,,,,,Apr,1
Belarus,0.24,1,0.5,,,,,Sep,6
Belgium,0.32,1,13.85,80.4,6.9,9,7.4,Apr,1
Belize,0,1,,69.8,6.1,18,2.5,Apr,1
Benin,0.02,1,,59.2,3.2,44,1.4,Oct,7
Bolivia (Plurinational State of),0.12,1,,67.5,6,35,3,Oct,7
Bosnia and Herzegovina,0.08,1,,76.2,4.8,19,3.1,Mar,12
Botswana,0.02,1,,64.2,4.8,28,3.8,Nov,8
Brazil,2.48,1,82.7,73.9,6.9,22,3.1,Sep,6
Bulgaria,0.15,1,11.85,73.9,4.2,19,3.3,Nov,8
Burkina Faso,0.06,1,,58,4,43,1.2,Nov,8
Cambodia,0.03,1,,67.5,3.9,28,1.2,Feb,11
Cameroon,0.45,1,74.4,54.6,4.2,47,1.2,Jul,4
Canada,1.95,1,62.5,81.7,7.4,9,8.2,Oct,7
Chad,0.06,1,,50.8,4,51,1.5,Jan,10
Chile,0.25,1,37.5,81.1,6.6,14,4.4,Feb,11
China,20.09,1,19.2,75.4,5.1,17,3.4,Sep,6
Comoros,0,1,,62.6,4,36,1,Nov,8
Congo,0.01,1,,,,,,Apr,1
Cook Islands,0,1,,,,,,Sep,6
Costa Rica,0.03,1,91.45,79.1,7.3,15,2.8,Oct,7
Cote d_Ivoire,0.73,1,,50.8,3.8,45,1.3,Oct,7
Cuba,0.1,1,3.7,,,,,Dec,9
Cyprus,0.02,1,4.9,79.8,6.2,12,4.2,Jan,10
Democratic People_s Republic of Korea,0.23,1,1.85,,,,,Aug,5
Denmark,0.15,1,48.05,79.8,7.5,7,5.5,Nov,8
Djibouti,0,1,,61.3,4.4,42,2.2,Nov,8
Dominica,0,1,,73.1,4.8,30,1.5,Sep,6
El Salvador,0.03,1,62.3,72.5,5.9,22,2.1,Mar,12
Estonia,0.06,1,12.3,76.2,5.4,12,6.9,Nov,8
Ethiopia,0.13,1,99.95,62.8,4.6,36,1,Mar,12
European Union,,1,,,,,,Oct,7
Fiji,0.01,1,,,,,,,
Finland,0.17,1,40.1,80.4,7.4,6,5.9,Nov,8
France,1.34,1,15.6,81.8,6.6,9,5.1,Oct,7
Gabon,0.02,1,39.9,63.3,4,36,2,Nov,8
Gambia,0.05,1,,,,,,Nov,8
Germany,2.56,1,23.3,80.6,6.7,8,5.3,Oct,7
Ghana,0.09,1,,61,5.1,38,2,Sep,6
Greece,0.28,1,16.05,80.5,5.1,16,4.4,Oct,7
Grenada,0,1,,71.4,5.9,27,1.9,Apr,1
Guatemala,0.04,1,62.25,57.7,3.7,42,1.4,Jan,10
Guinea,0.01,1,,,,,,Sep,6
Guyana,0.02,1,,,,,,May,2
Honduras,0.03,1,,,,,,Sep,6
Hungary,0.15,1,7.8,,,,,Oct,7
Iceland,0.01,1,100,74.9,4.7,15,2.9,Sep,6
India,4.1,1,13.6,82.2,7.6,5,6.4,Oct,7
Indonesia,1.49,1,11.55,67.3,4.6,31,1.2,Oct,7
Ireland,0.16,1,19.7,68.5,5.4,21,1.6,Nov,8
Israel,0.2,1,0.4,81.9,7.1,8,6.2,Nov,8
Italy,1.18,1,31.1,82.7,5.8,12,4.6,Nov,8
Jamaica,0.04,1,,75.3,5.6,21,1.9,Apr,1
Japan,3.79,1,12.7,83.2,6,9,5,Nov,8
Jordan,0.07,1,0.4,,,,,Nov,8
Kazakhstan,0.84,1,13.35,68.6,5.8,18,5.6,Dec,9
Kenya,0.06,1,73.15,60.3,4.5,38,1,Dec,9
Kiribati,0,1,,,,,,Sep,6
Lao People_s Democratic Republic,0.02,1,,,,,,,
Latvia,0.03,1,68.2,73.6,5.1,14,6.3,Mar,12
Lesotho,0.01,1,,48.9,4.9,42,1.7,Jan,10
Lithuania,0.05,1,32.2,72.8,5.8,11,5.8,Feb,11
Luxembourg,0.03,1,36,81.1,7,7,15.8,Nov,8
Madagascar,0.08,1,49.4,,,,,Sep,6
Malaysia,0.52,1,,74.4,5.9,10,3.7,Nov,8
Maldives,0,1,,,,,,Apr,1
Mali,0.03,1,57,,,,,Sep,6
Malta,0.01,1,0.8,80.2,6,13,4.4,Oct,7
Marshall Islands,0,1,,,,,,Apr,1
