Country_code,Country,Dollars,HPI
JPN,Japan,4383076,58
DEU,Germany,3363447,49
GBR,United Kingdom,2858003,34
FRA,France,2418836,44
IND,India,2095398,50
ITA,Italy,1821497,60
BRA,Brazil,1774725,23
CAN,Canada,1550537,85
KOR,Korea,1377873,80
AUS,Australia,1339141,105
RUS,Russia,1331208,116
ESP,Spain,1199057,15
MEX,Mexico,1143793,2
IDN,Indonesia,861934,16
NLD,Netherlands,750284,18
TUR,Turkey,717880,68
CHE,Switzerland,670790,24
ARG,Argentina,583169,19
SWE,Sweden,495624,61
NGA,Nigeria,481066,96
POL,Poland,477066,62
BEL,Belgium,455086,87
IRN,Iran,425326,84
THA,Thailand,395168,9
NOR,Norway,386578,12
AUT,Austria,376950,43
EGY,Egypt,330779,86
ZAF,South Africa,314572,128
HKG,Hong Kong ,309235,123
ISR,Israel,299416,54
MYS,Malaysia,296283,46
DNK,Denmark,295091,32
PHL,Philippines,292451,20
COL,Colombia,292080,3
IRL,Ireland,283703,48
PAK,Pakistan,271050,36
CHL,Chile,240796,35
FIN,Finland,231950,37
PRT,Portugal,198923,79
BGD,Bangladesh,195079,8
GRC,Greece,194851,89
VNM,Vietnam,193599,5
PER,Peru,189111,21
CZE,Czech Republic,185156,64
KAZ,Kazakhstan,184388,114
IRQ,Iraq,180069,67
ROM,Romania,177954,55
NZL,New Zealand,173754,38
DZA,Algeria,166839,30
HUN,Hungary,121715,69
ECU,Ecuador,100177,10
UKR,Ukraine,90615,70
SVK,Slovak Republic,87264,59
LKA,Sri Lanka,82316,28
OMN,Oman,69831,106
DOM,Dominican Republic,68103,45
UZB,Uzbekistan,66733,51
GTM,Guatemala,63794,26
KEN,Kenya,63398,83
MMR,Myanmar,62601,81
ETH,Ethiopia,61540,66
LUX,Luxembourg,57794,139
BLR,Belarus,54609,102
CRI,Costa Rica,54137,1
URY,Uruguay,53443,14
PAN,Panama,52132,6
BGR,Bulgaria,50199,109
HRV,Croatia,48732,47
LBN,Lebanon,47085,100
TZA,Tanzania,45628,97
TUN,Tunisia,43015,71
SVN,Slovenia,42775,82
LTU,Lithuania,41171,107
YEM,Yemen,37734,94
GHA,Ghana,37543,104
SRB,Serbia,37160,52
TKM,Turkmenistan,35855,134
ZAR,Congo,35238,115
BOL,Bolivia,32998,92
CIV,Cote d'Ivoire,31759,135
CMR,Cameroon,28416,124
UGA,Uganda,27529,112
PRY,Paraguay,27094,91
LVA,Latvia,27003,121
SLV,El Salvador,25850,17
TTO,Trinidad and Tobago,23559,130
EST,Estonia,22459,118
NPL,Nepal,21195,42
ZMB,Zambia,21154,77
HND,Honduras,20421,65
CYP,Cyprus,19560,41
AFG,Afghanistan,19331,110
KHM,Cambodia,18050,74
ISL,Iceland,16598,39
BIH,Bosnia and Herzegovina,16192,76
MOZ,Mozambique,14807,88
ZWE,Zimbabwe,14419,99
BWA,Botswana,14390,126
JAM,Jamaica,14262,11
GAB,Gabon,14262,120
GEO,Georgia,13965,40
SEN,Senegal,13610,101
NIC,Nicaragua,12693,7
MNG,Mongolia,11741,136
MUS,Mauritius,11682,63
NAM,Namibia,11492,103
ALB,Albania,11398,13
TCD,Chad,10889,140
BFA,Burkina Faso,10678,119
ARM,Armenia,10529,73
