Land,Global_emissions,Status,wind_solar,re,renewables,
Afghanistan,0.05,1,,,,
Albania,0.02,1,,,,
Algeria,0.3,1,0.3,0.5,0.8,
Andorra,0,1,,,,
Antigua and Barbuda,0,1,,,,
Argentina,0.89,1,0.4,24.8,24.1,
Armenia,0.02,1,,,,
Australia,1.46,1,6.8,15.2,9.55,
Austria,0.21,1,,,74.6,
Azerbaijan,0.13,1,,,,
Bahamas,0,1,,,,
Bahrain,0.06,1,,,,
Bangladesh,0.27,1,,,3.8,
Barbados,0.01,1,,,,
Belarus,0.24,1,,,0.5,
Belgium,0.32,1,14,23.9,13.85,
Belize,0,1,,,,
Benin,0.02,1,,,,
Bolivia (Plurinational State of),0.12,1,,,,
Bosnia and Herzegovina,0.08,1,,,,
Botswana,0.02,1,,,,
Brazil,2.48,1,4.1,73.5,82.7,
Brunei Darussalam,,1,,,,
Bulgaria,0.15,1,,,11.85,
Burkina Faso,0.06,1,,,,
Cambodia,0.03,1,,,,
Cameroon,0.45,1,,,74.4,
Canada,1.95,1,1.8,62.7,62.5,
Central African Republic,0.01,1,1.9,18.9,,
Chad,0.06,1,,,,
Chile,0.25,1,1.7,41.6,37.5,
China,20.09,1,4.1,24.7,19.2,
Comoros,0,1,,,,
Congo,0.01,1,,,,
Cook Islands,0,1,,,,
Costa Rica,0.03,1,,,91.45,
Cote d_Ivoire,0.73,1,,,,
Cuba,0.1,1,,,3.7,
Cyprus,0.02,1,,,4.9,
Democratic People_s Republic of Korea,0.23,1,0.9,2.1,1.85,
Denmark,0.15,1,,,48.05,
Djibouti,0,1,,,,
Dominica,0,1,,,,
El Salvador,0.03,1,,,62.3,
Estonia,0.06,1,,,12.3,
Ethiopia,0.13,1,,,99.95,
European Union,,1,,,,
Fiji,0.01,1,,,,
Finland,0.17,1,,,40.1,
France,1.34,1,5.1,16.5,15.6,
Gabon,0.02,1,,,39.9,
Gambia,0.05,1,,,,
Germany,2.56,1,19.6,32.2,23.3,
Ghana,0.09,1,,,,
Greece,0.28,1,,,16.05,
Grenada,0,1,,,,
Guatemala,0.04,1,,,62.25,
Guinea,0.01,1,,,,
Guyana,0.02,1,,,,
Honduras,0.03,1,,,,
Hungary,0.15,1,,,7.8,
Iceland,0.01,1,,,100,100
India,4.1,1,3.6,14.1,13.6,
Indonesia,1.49,1,4.3,11.1,11.55,
Ireland,0.16,1,,,19.7,
Israel,0.2,1,,,0.4,
Italy,1.18,1,16.3,38.4,31.1,
Jamaica,0.04,1,,,,
Japan,3.79,1,4.4,17.9,12.7,
Jordan,0.07,1,,,0.4,
Kazakhstan,0.84,1,0.02,9.3,13.35,
