
Time,Ref,Goal,Middle,Unknown,US,EU,CHINA,Developed,Developing
2000,39.3,39.3,39.3,39.3,,,,,
2001,39.8,39.8,39.8,39.8,,,,,
2002,41.0,41.0,41.0,41.0,,,,,
2003,42.3,42.3,42.3,42.3,,,,,
2004,44.2,44.2,44.2,44.2,,,,,
2005,45.3,45.3,45.3,45.3,,,,,
2006,46.3,46.3,46.3,46.3,,,,,
2007,47.1,47.1,47.1,47.1,,,,,
2008,47.6,47.6,47.6,47.6,,,,,
2009,47.6,47.6,47.6,47.6,,,,,
2010,49.6,49.6,49.6,49.6,,,,,
2011,50.9,50.9,50.9,50.9,,,,,
2012,51.8,51.8,51.8,51.8,,,,,
2013,52.1,52.1,52.1,52.1,,,,,
2014,52.5,52.5,52.5,52.5,,,,,
2015,52.5,52.5,52.5,52.5,,,,,
2016,53.3,53.3,53.3,53.3,,,,,
2017,54.4,54.4,54.4,54.4,,,,,
2018,55.6,54.7,54.7,54.9,,,,,
2019,56.7,54.9,54.9,55.3,55.40,55.30,55.08,54.88,54.17
2020,57.9,55.1,55.1,55.7,56.30,56.09,55.64,55.24,54.88
2021,59.0,55.3,55.3,56.1,57.31,57.00,56.30,55.71,55.17
2022,60.1,55.4,55.5,56.4,58.24,57.83,56.86,56.08,55.34
2023,61.2,55.6,55.6,56.7,58.16,58.64,57.38,56.41,55.46
2024,62.4,55.7,55.7,57.0,60.08,59.46,57.90,56.75,55.58
2025,63.5,55.7,55.8,57.3,61.27,60.54,58.66,57.32,55.91
2026,64.7,55.5,55.9,57.7,62.01,61.17,58.96,57.43,55.77
2027,65.8,55.3,56.0,58.1,62.90,61.95,59.55,57.84,55.94
2028,67.0,54.9,56.0,58.4,63.69,62.63,60.01,58.11,55.95
2029,68.1,54.5,56.0,58.7,64.60,63.43,60.56,58.48,56.05
2030,69.3,54.0,56.0,58.9,65.42,64.13,60.98,58.71,55.99
2031,70.4,52.1,56.2,59.4,66.34,64.94,61.49,59.04,56.00
2032,71.6,50.2,56.4,59.9,,,,,
2033,72.7,48.5,56.7,60.4,,,,,
2034,73.9,46.7,56.9,60.9,,,,,
2035,75.0,45.1,57.2,61.4,,,,,
2036,76.2,43.5,57.5,61.9,,,,,
2037,77.3,42.0,57.8,62.4,,,,,
2038,78.4,40.5,58.1,63.0,,,,,
2039,79.6,39.1,58.4,63.5,,,,,
2040,80.7,37.7,58.7,64.1,,,,,
2041,81.8,36.4,59.1,64.6,,,,,
2042,82.9,35.1,59.4,65.2,,,,,
2043,84.0,33.9,59.8,65.7,,,,,
2044,85.1,32.7,60.2,66.3,,,,,
2045,86.2,31.6,60.6,66.8,,,,,
2046,87.3,30.5,60.9,67.4,,,,,
2047,88.4,29.4,61.3,68.0,,,,,
2048,89.5,28.4,61.7,68.5,,,,,
2049,90.5,27.4,62.1,69.1,,,,,
2050,91.6,26.5,62.5,69.7,,,,,
2051,92.6,25.5,63.0,70.3,,,,,
2052,93.6,24.7,63.4,70.9,,,,,
2053,94.7,23.8,63.9,71.5,,,,,
2054,95.7,23.0,64.3,72.2,,,,,
2055,96.7,22.2,64.8,72.8,,,,,
2056,97.7,21.4,65.3,73.4,,,,,
2057,98.6,20.7,65.7,74.0,,,,,
2058,99.6,20.0,66.2,74.6,,,,,
2059,100.6,19.3,66.7,75.3,,,,,
2060,101.5,18.7,67.1,75.9,,,,,
2061,102.5,18.0,67.6,76.5,,,,,
2062,103.4,17.4,68.1,77.1,,,,,
2063,104.3,16.8,68.5,77.7,,,,,
2064,105.3,16.2,69.0,78.4,,,,,
2065,106.2,15.7,69.5,79.0,,,,,
2066,107.1,15.2,69.9,79.6,,,,,
2067,108.0,14.7,70.4,80.2,,,,,
2068,109.0,14.2,70.9,80.8,,,,,
2069,109.9,13.7,71.3,81.4,,,,,
2070,110.8,13.2,71.8,82.1,,,,,
2071,111.7,12.8,72.3,82.7,,,,,
2072,112.6,12.4,72.8,83.3,,,,,
2073,113.5,12.0,73.2,83.9,,,,,
2074,114.4,11.6,73.7,84.5,,,,,
2075,115.3,11.2,74.2,85.1,,,,,
2076,116.2,10.8,74.6,85.8,,,,,
2077,117.1,10.5,75.1,86.4,,,,,
2078,118.0,10.1,75.6,87.0,,,,,
2079,118.9,9.8,76.1,87.6,,,,,
2080,119.8,9.5,76.5,88.2,,,,,
2081,120.7,9.2,77.0,88.8,,,,,
2082,121.6,9.0,77.5,89.4,,,,,
2083,122.5,8.7,77.9,90.0,,,,,
2084,123.4,8.4,78.4,90.6,,,,,
2085,124.3,8.2,78.9,91.2,,,,,
2086,125.2,8.0,79.4,91.8,,,,,
2087,126.1,7.8,79.9,92.4,,,,,
2088,127.0,7.6,80.3,93.0,,,,,
2089,127.9,7.4,80.8,93.7,,,,,
2090,128.8,7.2,81.3,94.3,,,,,
2091,129.7,7.0,81.8,94.9,,,,,
2092,130.6,6.8,82.3,95.5,,,,,
2093,131.5,6.7,82.7,96.1,,,,,
2094,132.5,6.5,83.2,96.7,,,,,
2095,133.4,6.3,83.7,97.3,,,,,
2096,134.3,6.2,84.2,97.9,,,,,
2097,135.2,6.0,84.6,98.5,,,,,
2098,136.2,5.9,85.1,99.1,,,,,
2099,137.1,5.8,85.6,99.7,,,,,
2100,138.0,5.6,86.0,100.3,,,,,
